model,budget,policy,correct,dim,ctx
BioMistral-7B,98.0,AdaSnapKV,0.4117647058823529,budget,
BioMistral-7B,98.0,BlockSal,0.32941176470588235,budget,
BioMistral-7B,98.0,FullContext,0.5725490196078431,budget,
BioMistral-7B,98.0,H2O,0.35294117647058826,budget,
BioMistral-7B,98.0,KiaOmni_Gaussian,0.38823529411764707,budget,
BioMistral-7B,98.0,KiaOmni_σ8,0.3764705882352941,budget,
BioMistral-7B,98.0,SnapKV,0.19607843137254902,budget,
BioMistral-7B,128.0,AdaSnapKV,0.4666666666666667,budget,
BioMistral-7B,128.0,BlockSal,0.42745098039215684,budget,
BioMistral-7B,128.0,FullContext,0.5725490196078431,budget,
BioMistral-7B,128.0,H2O,0.4392156862745098,budget,
BioMistral-7B,128.0,KiaOmni_Gaussian,0.47058823529411764,budget,
BioMistral-7B,128.0,KiaOmni_σ8,0.4666666666666667,budget,
BioMistral-7B,128.0,SnapKV,0.25882352941176473,budget,
BioMistral-7B,256.0,AdaSnapKV,0.5411764705882353,budget,
BioMistral-7B,256.0,BlockSal,0.5372549019607843,budget,
BioMistral-7B,256.0,FullContext,0.5725490196078431,budget,
BioMistral-7B,256.0,H2O,0.5058823529411764,budget,
BioMistral-7B,256.0,KiaOmni_Gaussian,0.5019607843137255,budget,
BioMistral-7B,256.0,KiaOmni_σ8,0.5254901960784314,budget,
BioMistral-7B,256.0,SnapKV,0.4117647058823529,budget,
BioMistral-7B,512.0,AdaSnapKV,0.5647058823529412,budget,
BioMistral-7B,512.0,BlockSal,0.5647058823529412,budget,
BioMistral-7B,512.0,FullContext,0.5725490196078431,budget,
BioMistral-7B,512.0,H2O,0.5568627450980392,budget,
BioMistral-7B,512.0,KiaOmni_Gaussian,0.5647058823529412,budget,
BioMistral-7B,512.0,KiaOmni_σ8,0.5529411764705883,budget,
BioMistral-7B,512.0,SnapKV,0.5294117647058824,budget,
Falcon3-7B,98.0,AdaSnapKV,0.14838709677419354,budget,
Falcon3-7B,98.0,BlockSal,0.14193548387096774,budget,
Falcon3-7B,98.0,FullContext,0.4115755627009646,budget,
Falcon3-7B,98.0,H2O,0.14516129032258066,budget,
Falcon3-7B,98.0,KiaOmni_Gaussian,0.16129032258064516,budget,
Falcon3-7B,98.0,KiaOmni_σ8,0.17419354838709677,budget,
Falcon3-7B,98.0,SnapKV,0.11290322580645161,budget,
Falcon3-7B,128.0,AdaSnapKV,0.17096774193548386,budget,
Falcon3-7B,128.0,BlockSal,0.15161290322580645,budget,
Falcon3-7B,128.0,FullContext,0.4161290322580645,budget,
Falcon3-7B,128.0,H2O,0.2,budget,
Falcon3-7B,128.0,KiaOmni_Gaussian,0.2064516129032258,budget,
Falcon3-7B,128.0,KiaOmni_σ8,0.19032258064516128,budget,
Falcon3-7B,128.0,SnapKV,0.14838709677419354,budget,
Falcon3-7B,256.0,AdaSnapKV,0.24516129032258063,budget,
Falcon3-7B,256.0,BlockSal,0.24838709677419354,budget,
Falcon3-7B,256.0,FullContext,0.4096774193548387,budget,
Falcon3-7B,256.0,H2O,0.1967741935483871,budget,
Falcon3-7B,256.0,KiaOmni_Gaussian,0.25806451612903225,budget,
Falcon3-7B,256.0,KiaOmni_σ8,0.24838709677419354,budget,
Falcon3-7B,256.0,SnapKV,0.15483870967741936,budget,
Falcon3-7B,512.0,AdaSnapKV,0.27419354838709675,budget,
Falcon3-7B,512.0,BlockSal,0.3161290322580645,budget,
Falcon3-7B,512.0,FullContext,0.4064516129032258,budget,
Falcon3-7B,512.0,H2O,0.26129032258064516,budget,
Falcon3-7B,512.0,KiaOmni_Gaussian,0.3387096774193548,budget,
Falcon3-7B,512.0,KiaOmni_σ8,0.33548387096774196,budget,
Falcon3-7B,512.0,SnapKV,0.1774193548387097,budget,
Mistral-7B,98.0,AdaSnapKV,0.20833333333333334,budget,
Mistral-7B,98.0,BlockSal,0.22777777777777777,budget,
Mistral-7B,98.0,FullContext,0.4583333333333333,budget,
Mistral-7B,98.0,H2O,0.2111111111111111,budget,
Mistral-7B,98.0,KiaOmni_Gaussian,0.21666666666666667,budget,
Mistral-7B,98.0,KiaOmni_σ8,0.20833333333333334,budget,
Mistral-7B,98.0,SnapKV,0.18333333333333332,budget,
Mistral-7B,128.0,AdaSnapKV,0.23055555555555557,budget,
Mistral-7B,128.0,BlockSal,0.2222222222222222,budget,
Mistral-7B,128.0,FullContext,0.45555555555555555,budget,
Mistral-7B,128.0,H2O,0.20555555555555555,budget,
Mistral-7B,128.0,KiaOmni_Gaussian,0.25,budget,
Mistral-7B,128.0,KiaOmni_σ8,0.22777777777777777,budget,
Mistral-7B,128.0,SnapKV,0.15555555555555556,budget,
Mistral-7B,256.0,AdaSnapKV,0.2638888888888889,budget,
Mistral-7B,256.0,BlockSal,0.3194444444444444,budget,
Mistral-7B,256.0,FullContext,0.4583333333333333,budget,
Mistral-7B,256.0,H2O,0.21944444444444444,budget,
Mistral-7B,256.0,KiaOmni_Gaussian,0.3194444444444444,budget,
Mistral-7B,256.0,KiaOmni_σ8,0.2972222222222222,budget,
Mistral-7B,256.0,SnapKV,0.17777777777777778,budget,
Mistral-7B,512.0,AdaSnapKV,0.25833333333333336,budget,
Mistral-7B,512.0,BlockSal,0.3277777777777778,budget,
Mistral-7B,512.0,FullContext,0.4583333333333333,budget,
Mistral-7B,512.0,H2O,0.25,budget,
Mistral-7B,512.0,KiaOmni_Gaussian,0.37222222222222223,budget,
Mistral-7B,512.0,KiaOmni_σ8,0.3472222222222222,budget,
Mistral-7B,512.0,SnapKV,0.2111111111111111,budget,
Qwen2.5-7B,98.0,AdaSnapKV,0.20277777777777778,budget,
Qwen2.5-7B,98.0,BlockSal,0.24722222222222223,budget,
Qwen2.5-7B,98.0,FullContext,0.475,budget,
Qwen2.5-7B,98.0,H2O,0.19166666666666668,budget,
Qwen2.5-7B,98.0,KiaOmni_Gaussian,0.25555555555555554,budget,
Qwen2.5-7B,98.0,KiaOmni_σ8,0.24722222222222223,budget,
Qwen2.5-7B,98.0,SnapKV,0.11666666666666667,budget,
Qwen2.5-7B,128.0,AdaSnapKV,0.23055555555555557,budget,
Qwen2.5-7B,128.0,BlockSal,0.26944444444444443,budget,
Qwen2.5-7B,128.0,FullContext,0.4777777777777778,budget,
Qwen2.5-7B,128.0,H2O,0.20555555555555555,budget,
Qwen2.5-7B,128.0,KiaOmni_Gaussian,0.275,budget,
Qwen2.5-7B,128.0,KiaOmni_σ8,0.28888888888888886,budget,
Qwen2.5-7B,128.0,SnapKV,0.13055555555555556,budget,
Qwen2.5-7B,256.0,AdaSnapKV,0.30277777777777776,budget,
Qwen2.5-7B,256.0,BlockSal,0.36944444444444446,budget,
Qwen2.5-7B,256.0,FullContext,0.4666666666666667,budget,
Qwen2.5-7B,256.0,H2O,0.25,budget,
Qwen2.5-7B,256.0,KiaOmni_Gaussian,0.3416666666666667,budget,
Qwen2.5-7B,256.0,KiaOmni_σ8,0.375,budget,
Qwen2.5-7B,256.0,SnapKV,0.2222222222222222,budget,
Qwen2.5-7B,512.0,AdaSnapKV,0.3611111111111111,budget,
Qwen2.5-7B,512.0,BlockSal,0.3972222222222222,budget,
Qwen2.5-7B,512.0,FullContext,0.475,budget,
Qwen2.5-7B,512.0,H2O,0.31666666666666665,budget,
Qwen2.5-7B,512.0,KiaOmni_Gaussian,0.425,budget,
Qwen2.5-7B,512.0,KiaOmni_σ8,0.41388888888888886,budget,
Qwen2.5-7B,512.0,SnapKV,0.30277777777777776,budget,
BioMistral-7B,,AdaSnapKV,0.4023809523809524,ctx,4096.0
BioMistral-7B,,BlockSal,0.37857142857142856,ctx,4096.0
BioMistral-7B,,FullContext,0.49523809523809526,ctx,4096.0
BioMistral-7B,,H2O,0.3761904761904762,ctx,4096.0
BioMistral-7B,,KiaOmni_Gaussian,0.39285714285714285,ctx,4096.0
BioMistral-7B,,KiaOmni_σ8,0.3880952380952381,ctx,4096.0
BioMistral-7B,,SnapKV,0.28095238095238095,ctx,4096.0
BioMistral-7B,,AdaSnapKV,0.4722222222222222,ctx,8192.0
BioMistral-7B,,BlockSal,0.44722222222222224,ctx,8192.0
BioMistral-7B,,FullContext,0.5222222222222223,ctx,8192.0
BioMistral-7B,,H2O,0.4388888888888889,ctx,8192.0
BioMistral-7B,,KiaOmni_Gaussian,0.45555555555555555,ctx,8192.0
BioMistral-7B,,KiaOmni_σ8,0.4583333333333333,ctx,8192.0
BioMistral-7B,,SnapKV,0.33055555555555555,ctx,8192.0
BioMistral-7B,,AdaSnapKV,0.6958333333333333,ctx,16384.0
BioMistral-7B,,BlockSal,0.6416666666666667,ctx,16384.0
BioMistral-7B,,FullContext,0.7833333333333333,ctx,16384.0
BioMistral-7B,,H2O,0.6541666666666667,ctx,16384.0
BioMistral-7B,,KiaOmni_Gaussian,0.675,ctx,16384.0
BioMistral-7B,,KiaOmni_σ8,0.675,ctx,16384.0
BioMistral-7B,,SnapKV,0.49583333333333335,ctx,16384.0
Falcon3-7B,,AdaSnapKV,0.18333333333333332,ctx,4096.0
Falcon3-7B,,BlockSal,0.18125,ctx,4096.0
Falcon3-7B,,FullContext,0.375,ctx,4096.0
Falcon3-7B,,H2O,0.16666666666666666,ctx,4096.0
Falcon3-7B,,KiaOmni_Gaussian,0.21875,ctx,4096.0
Falcon3-7B,,KiaOmni_σ8,0.21458333333333332,ctx,4096.0
Falcon3-7B,,SnapKV,0.13125,ctx,4096.0
Falcon3-7B,,AdaSnapKV,0.19495412844036697,ctx,8192.0
Falcon3-7B,,BlockSal,0.21330275229357798,ctx,8192.0
Falcon3-7B,,FullContext,0.39359267734553777,ctx,8192.0
Falcon3-7B,,H2O,0.19495412844036697,ctx,8192.0
Falcon3-7B,,KiaOmni_Gaussian,0.22477064220183487,ctx,8192.0
Falcon3-7B,,KiaOmni_σ8,0.22018348623853212,ctx,8192.0
Falcon3-7B,,SnapKV,0.1444954128440367,ctx,8192.0
Falcon3-7B,,AdaSnapKV,0.26851851851851855,ctx,16384.0
Falcon3-7B,,BlockSal,0.2654320987654321,ctx,16384.0
Falcon3-7B,,FullContext,0.4876543209876543,ctx,16384.0
Falcon3-7B,,H2O,0.25925925925925924,ctx,16384.0
Falcon3-7B,,KiaOmni_Gaussian,0.2962962962962963,ctx,16384.0
Falcon3-7B,,KiaOmni_σ8,0.2932098765432099,ctx,16384.0
Falcon3-7B,,SnapKV,0.17901234567901234,ctx,16384.0
Mistral-7B,,AdaSnapKV,0.2375,ctx,4096.0
Mistral-7B,,BlockSal,0.25,ctx,4096.0
Mistral-7B,,FullContext,0.41875,ctx,4096.0
Mistral-7B,,H2O,0.21875,ctx,4096.0
Mistral-7B,,KiaOmni_Gaussian,0.2791666666666667,ctx,4096.0
Mistral-7B,,KiaOmni_σ8,0.2625,ctx,4096.0
Mistral-7B,,SnapKV,0.175,ctx,4096.0
Mistral-7B,,AdaSnapKV,0.23958333333333334,ctx,8192.0
Mistral-7B,,BlockSal,0.275,ctx,8192.0
Mistral-7B,,FullContext,0.4479166666666667,ctx,8192.0
Mistral-7B,,H2O,0.22083333333333333,ctx,8192.0
Mistral-7B,,KiaOmni_Gaussian,0.28541666666666665,ctx,8192.0
