source,task,ctx,trial_or_sample,policy,budget,sal_ms,gen_ms,tokens_per_sec,vram_sal_mb,vram_gen_mb
ruler,niah_single,4096,0,FullContext,98,4702.0,2253.8,4.88,4967.3,5511.6
ruler,niah_single,4096,0,FullContext,128,4702.0,2253.8,4.88,4967.3,5511.6
ruler,niah_single,4096,0,FullContext,256,4702.0,2253.8,4.88,4967.3,5511.6
ruler,niah_single,4096,0,FullContext,512,4702.0,2253.8,4.88,4967.3,5511.6
ruler,niah_single,4096,0,BlockSal,98,4702.0,3666.1,13.91,4967.3,4610.7
ruler,niah_single,4096,0,BlockSal,128,4702.0,1887.9,13.77,4967.3,4617.8
ruler,niah_single,4096,0,BlockSal,256,4702.0,879.8,12.5,4967.3,4646.1
ruler,niah_single,4096,0,BlockSal,512,4702.0,827.0,13.3,4967.3,4701.1
ruler,niah_single,4096,0,SnapKV,98,4702.0,7748.3,12.65,4967.3,4600.2
ruler,niah_single,4096,0,SnapKV,128,4702.0,6976.7,14.05,4967.3,4601.1
ruler,niah_single,4096,0,SnapKV,256,4702.0,555.2,14.41,4967.3,4607.3
ruler,niah_single,4096,0,SnapKV,512,4702.0,774.4,14.2,4967.3,4625.3
ruler,niah_single,4096,0,AdaSnapKV,98,4702.0,1468.2,13.62,4967.3,4619.8
ruler,niah_single,4096,0,AdaSnapKV,128,4702.0,683.3,14.63,4967.3,4629.1
ruler,niah_single,4096,0,AdaSnapKV,256,4702.0,774.5,14.2,4967.3,4669.0
ruler,niah_single,4096,0,AdaSnapKV,512,4702.0,886.1,12.41,4967.3,4748.8
ruler,niah_single,4096,0,H2O,98,4702.0,5103.7,15.48,4967.3,4611.1
ruler,niah_single,4096,0,H2O,128,4702.0,1423.3,14.05,4967.3,4617.8
ruler,niah_single,4096,0,H2O,256,4702.0,754.9,14.57,4967.3,4646.1
ruler,niah_single,4096,0,H2O,512,4702.0,806.4,13.64,4967.3,4702.9
ruler,niah_single,4096,0,KiaOmni_σ8,98,4702.0,6315.9,15.52,4967.3,4611.1
ruler,niah_single,4096,0,KiaOmni_σ8,128,4702.0,747.1,14.72,4967.3,4617.8
ruler,niah_single,4096,0,KiaOmni_σ8,256,4702.0,745.4,14.76,4967.3,4646.1
ruler,niah_single,4096,0,KiaOmni_σ8,512,4702.0,797.8,13.79,4967.3,4702.9
ruler,niah_single,4096,0,KiaOmni_Gaussian,98,4702.0,6301.9,15.55,4967.3,4611.1
ruler,niah_single,4096,0,KiaOmni_Gaussian,128,4702.0,757.6,14.52,4967.3,4617.8
ruler,niah_single,4096,0,KiaOmni_Gaussian,256,4702.0,955.7,11.51,4967.3,4646.1
ruler,niah_single,4096,0,KiaOmni_Gaussian,512,4702.0,934.3,11.77,4967.3,4702.9
ruler,niah_single,4096,1,FullContext,98,3824.7,2067.0,5.32,4967.5,5512.1
ruler,niah_single,4096,1,FullContext,128,3824.7,2067.0,5.32,4967.5,5512.1
ruler,niah_single,4096,1,FullContext,256,3824.7,2067.0,5.32,4967.5,5512.1
ruler,niah_single,4096,1,FullContext,512,3824.7,2067.0,5.32,4967.5,5512.1
ruler,niah_single,4096,1,BlockSal,98,3824.7,1682.2,15.46,4967.5,4610.7
ruler,niah_single,4096,1,BlockSal,128,3824.7,740.9,14.85,4967.5,4617.8
ruler,niah_single,4096,1,BlockSal,256,3824.7,757.2,14.53,4967.5,4646.1
ruler,niah_single,4096,1,BlockSal,512,3824.7,817.6,13.45,4967.5,4702.9
ruler,niah_single,4096,1,SnapKV,98,3824.7,1904.2,15.23,4967.5,4600.2
ruler,niah_single,4096,1,SnapKV,128,3824.7,2002.9,15.48,4967.5,4601.1
ruler,niah_single,4096,1,SnapKV,256,3824.7,727.7,15.12,4967.5,4609.3
ruler,niah_single,4096,1,SnapKV,512,3824.7,745.6,14.75,4967.5,4629.1
ruler,niah_single,4096,1,AdaSnapKV,98,3824.7,1209.7,14.88,4967.5,4619.8
ruler,niah_single,4096,1,AdaSnapKV,128,3824.7,1136.5,14.96,4967.5,4629.1
ruler,niah_single,4096,1,AdaSnapKV,256,3824.7,804.8,13.67,4967.5,4668.8
ruler,niah_single,4096,1,AdaSnapKV,512,3824.7,877.4,12.54,4967.5,4748.4
ruler,niah_single,4096,1,H2O,98,3824.7,932.0,15.02,4967.5,4611.1
ruler,niah_single,4096,1,H2O,128,3824.7,1168.0,15.41,4967.5,4617.8
ruler,niah_single,4096,1,H2O,256,3824.7,1193.0,15.09,4967.5,4646.1
