source,task,ctx,trial_or_sample,policy,budget,sal_ms,gen_ms,tokens_per_sec,vram_sal_mb,vram_gen_mb
ruler,niah_single,4096,0,FullContext,98,2955.4,1923.1,4.16,7086.3,6648.6
ruler,niah_single,4096,0,FullContext,128,2955.4,1923.1,4.16,7086.3,6648.6
ruler,niah_single,4096,0,FullContext,256,2955.4,1923.1,4.16,7086.3,6648.6
ruler,niah_single,4096,0,FullContext,512,2955.4,1923.1,4.16,7086.3,6648.6
ruler,niah_single,4096,0,BlockSal,98,2955.4,5843.0,16.43,7086.3,6011.2
ruler,niah_single,4096,0,BlockSal,128,2955.4,5814.9,16.51,7086.3,6016.4
ruler,niah_single,4096,0,BlockSal,256,2955.4,5831.8,16.46,7086.3,6037.1
ruler,niah_single,4096,0,BlockSal,512,2955.4,7145.4,13.44,7086.3,6078.7
ruler,niah_single,4096,0,SnapKV,98,2955.4,926.1,14.04,7086.3,6003.5
ruler,niah_single,4096,0,SnapKV,128,2955.4,1457.9,15.09,7086.3,6004.2
ruler,niah_single,4096,0,SnapKV,256,2955.4,1576.4,15.22,7086.3,6009.5
ruler,niah_single,4096,0,SnapKV,512,2955.4,1593.8,15.06,7086.3,6021.1
ruler,niah_single,4096,0,AdaSnapKV,98,2955.4,3734.5,16.07,7086.3,6017.5
ruler,niah_single,4096,0,AdaSnapKV,128,2955.4,2454.5,13.85,7086.3,6024.3
ruler,niah_single,4096,0,AdaSnapKV,256,2955.4,5847.4,16.42,7086.3,6053.0
ruler,niah_single,4096,0,AdaSnapKV,512,2955.4,758.9,10.54,7086.3,6110.5
ruler,niah_single,4096,0,H2O,98,2955.4,398.4,10.04,7086.3,6011.5
ruler,niah_single,4096,0,H2O,128,2955.4,3709.6,16.17,7086.3,6016.4
ruler,niah_single,4096,0,H2O,256,2955.4,3505.1,15.98,7086.3,6037.1
ruler,niah_single,4096,0,H2O,512,2955.4,644.1,10.87,7086.3,6078.7
ruler,niah_single,4096,0,KiaOmni_σ8,98,2955.4,3555.3,16.03,7086.3,6011.5
ruler,niah_single,4096,0,KiaOmni_σ8,128,2955.4,5892.3,16.29,7086.3,6016.4
ruler,niah_single,4096,0,KiaOmni_σ8,256,2955.4,5880.0,16.33,7086.3,6037.1
ruler,niah_single,4096,0,KiaOmni_σ8,512,2955.4,4663.7,15.87,7086.3,6078.7
