model,source,task,ctx,trial_or_sample,policy,budget,ground_truth,prediction,f1,em,rouge_l,contains,llm_judge_score,llm_judge_reason,judge_label,judge_source
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,FullContext,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,BlockSal,256,rs5030655,What is the gene associated with variant rs5030655? What is the phenotypic abnormality associated with variant rs5030655? What is the population group in which variant rs5030655 was found? What is the population group in which variant rs5030655 was found? What is the population group in which variant rs5030655 was found? What,0.0425531914893617,0.0,0.042553191489361694,1.0,,,CORRECT,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,SnapKV,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,AdaSnapKV,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,H2O,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,KiaOmni_σ8,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,KiaOmni_Adaptive,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,KiaOmni_RatioAdaptive,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,KiaOmni_Quest,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,KiaOmni_Gaussian,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,KiaOmni_AnchorExp,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,0,KiaOmni_Scissorhands,256,rs5030655,,0.0,0.0,0.0,0.0,,,NOISE,auto
BioMistral-7B,bio_ruler,bio_niah_single,4096,1,FullContext,256,rs9923231,,0.0,0.0,0.0,0.0,,,NOISE,auto
